Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
DeiTHighway_Exit0,Embed_Conv,256,9671425,129417,11.9533,92363,38536200000,304315,14,3.03407,14,1,14,7688,1536,1,1,150528,589824,893282000000,115605504,312.909,1356.6,26.5236,302619,115605504,28754688,28754688,150528,4.02041,115605504,589824,589824,589824,196,115605504,115605504,33547008,150528,1,1,1,1,1,1,1,257,257,257,12,4
DeiTHighway_Exit0,Enc0_Attn_Q,256,907777,327772,128,390515,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,354501000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc0_Attn_K,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc0_Attn_V,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc0_Attn_Output,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc0_FFN1,256,3631105,740109,128,172947,38536200000,302939,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,302619,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc0_FFN2,256,3631105,1315330,128,97314.2,38536200000,302939,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,302619,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc1_Attn_Q,256,907777,901924,128,141919,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc1_Attn_K,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc1_Attn_V,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc1_Attn_Output,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc1_FFN1,256,3631105,740109,128,172947,38536200000,302939,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,302619,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc1_FFN2,256,3631105,1315330,128,97314.2,38536200000,302939,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,302619,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc2_Attn_Q,256,907777,901924,128,141919,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc2_Attn_K,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc2_Attn_V,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc2_Attn_Output,256,907777,328792,128,389303,38536200000,302939,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,302619,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc2_FFN1,256,3631105,740109,128,172947,38536200000,302939,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,302619,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Enc2_FFN2,256,3631105,1315330,128,97314.2,38536200000,302939,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,302619,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit0,Highway0_Pooler,256,4609,769842,127.972,166232,38536200000,302939,160,157.347,160,1,160,648,6,1,1,768,589824,766163000,589824,312.909,5.2992,2.2356,302619,589824,135232,135232,768,4.36157,589824,589824,589824,589824,1,589824,589824,768,9216,1,1,1,1,1,1,1,2,2,2,256,0.8
