Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
DoVit_Maestro_Exit1,PatchEmbed_Projection,256,20572544,172340,7.49254,43475.5,3.79176e+07,1755.48,9,1.90181,9,1,9,7688,1536,1,1,150528,786432,8.94401e+11,154140672,312.909,1356.6,26.5236,59.4496,154140672, 38339328, 38339328, 150528, 4.02043, 154140672, 786432, 786432, 786432, 196, 154140672, 154140672, 44729344, 200704, 1, 77, 384, 78, 1, 1, 1, 410, 410, 410, 12, 4
DoVit_Maestro_Exit1,BB_L0_Attn_Q_Proj,256,25690126,496792,8,16103.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,4.13696e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L0_Attn_K_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L0_Attn_V_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L0_Attn_Out_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L0_FFN1,256,102760462,1.30906e+06,8,6111.25,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,59.4496,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L0_FFN2,256,102760462,2.32557e+06,8,3440.02,3.78762e+07,379.893,22,4.66436,22,1,22,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,59.4496,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L1_Attn_Q_Proj,256,25690126,1.59507e+06,8,5015.44,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L1_Attn_K_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L1_Attn_V_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L1_Attn_Out_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L1_FFN1,256,102760462,1.30906e+06,8,6111.25,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,59.4496,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L1_FFN2,256,102760462,2.32557e+06,8,3440.02,3.78762e+07,379.893,22,4.66436,22,1,22,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,59.4496,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L2_Attn_Q_Proj,256,25690126,1.59507e+06,8,5015.44,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L2_Attn_K_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L2_Attn_V_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
DoVit_Maestro_Exit1,BB_L2_Attn_Out_Proj,256,25690126,581339,8,13761.3,3.78762e+07,379.893,22,4.66327,22,1,22,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,59.4496,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 7, 32, 7, 1, 1, 1, 14, 14, 14, 256, 4
