Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
DeiTHighway_Exit2,Enc2_Attn_V,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc2_Attn_Output,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc2_FFN1,256,10893312,740109,42.6667,57649.2,419047000,3375.53,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc2_FFN2,256,10893312,1315330,42.6667,32438.1,419047000,3375.53,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc3_Attn_Q,256,2723328,901924,42.6667,47306.3,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc3_Attn_K,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc3_Attn_V,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc3_Attn_Output,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc3_FFN1,256,10893312,740109,42.6667,57649.2,419047000,3375.53,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc3_FFN2,256,10893312,1315330,42.6667,32438.1,419047000,3375.53,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc4_Attn_Q,256,2723328,901924,42.6667,47306.3,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc4_Attn_K,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc4_Attn_V,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc4_Attn_Output,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc4_FFN1,256,10893312,740109,42.6667,57649.2,419047000,3375.53,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc4_FFN2,256,10893312,1315330,42.6667,32438.1,419047000,3375.53,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc5_Attn_Q,256,2723328,901924,42.6667,47306.3,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc5_Attn_K,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc5_Attn_V,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc5_Attn_Output,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc5_FFN1,256,10893312,740109,42.6667,57649.2,419047000,3375.53,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc5_FFN2,256,10893312,1315330,42.6667,32438.1,419047000,3375.53,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc6_Attn_Q,256,2723328,901924,42.6667,47306.3,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc6_Attn_K,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc6_Attn_V,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc6_Attn_Output,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc6_FFN1,256,10893312,740109,42.6667,57649.2,419047000,3375.53,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc6_FFN2,256,10893312,1315330,42.6667,32438.1,419047000,3375.53,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc7_Attn_Q,256,2723328,901924,42.6667,47306.3,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc7_Attn_K,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc7_Attn_V,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc7_Attn_Output,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc7_FFN1,256,10893312,740109,42.6667,57649.2,419047000,3375.53,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc7_FFN2,256,10893312,1315330,42.6667,32438.1,419047000,3375.53,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc8_Attn_Q,256,2723328,901924,42.6667,47306.3,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,128830000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc8_Attn_K,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc8_Attn_V,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc8_Attn_Output,256,2723328,328792,42.6667,129768,419047000,3375.53,160,32.6363,160,1,160,648,6,1,1,151296,589824,353400000000,116195328,312.909,5.2992,2.2356,3055.08,116195328,29036608,29036608,151296,4.00168,116195328,589824,589824,589824,197,116195328,116195328,151296,1815552,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc8_FFN1,256,10893312,740109,42.6667,57649.2,419047000,3375.53,160,32.6362,160,1,160,648,6,1,1,151296,2359296,627990000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116146240,116146240,151296,4.00169,464781312,2359296,2359296,2359296,197,464781312,464781312,605184,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Enc8_FFN2,256,10893312,1315330,42.6667,32438.1,419047000,3375.53,160,32.6464,160,1,160,648,6,1,1,605184,2359296,353358000000,464781312,312.909,5.2992,2.2356,3055.08,464781312,116183104,116183104,605184,4.00042,464781312,2359296,2359296,2359296,197,464781312,464781312,151296,7262208,1,1,1,1,1,1,1,2,2,2,256,4
DeiTHighway_Exit2,Highway2_Pooler,256,13824,769842,42.6667,55422.7,419047000,3375.53,160,157.347,160,1,160,648,6,1,1,768,589824,766163000,589824,312.909,5.2992,2.2356,3055.08,589824,135232,135232,768,4.36157,589824,589824,589824,589824,1,589824,589824,768,9216,1,1,1,1,1,1,1,2,2,2,256,0.8
,,,303842308,35818758,2358.5755,4970571.8,23466674000,190405.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
